,Unnamed: 0,username,date,retweets,favorites,geo,mentions,hashtags,id,permalink,text,sentiment_polarity,follower_count
1255,1255,marcorubio,1/12/2016,234,485,,,,"""687077169504358400""",https://twitter.com/marcorubio/status/687077169504358400,"""Iran is testing the boundaries of this Administration's resolve. I will repeal the Iran deal on Day 1. http:// youtu.be/wGb58UH0kLw?t= 12s """,0,0
1256,1256,marcorubio,1/12/2016,332,476,,,,"""687073064132034561""",https://twitter.com/marcorubio/status/687073064132034561,"""My response to reports that Iran is holding ten American sailors: https:// amp.twimg.com/v/b7187a19-0e0 8-4a38-b6c3-84d9e4a3523b """,0,0
1257,1257,marcorubio,1/12/2016,93,172,,,,"""687021132256378880""",https://twitter.com/marcorubio/status/687021132256378880,"""Hillary Clinton is attacking me yet again. Here's why: http:// rub.io/r7emkz""",0,0
1258,1258,marcorubio,1/12/2016,127,189,,,,,,"""No job creator wants more taxes or regulations yet that's exactly what some candidates for president are proposing. http:// rub.io/AzGoQ7"";;;;""687006328112283649"";https://twitter.com/marcorubio/status/687006328112283649",0.316666667,0
1259,1259,marcorubio,1/12/2016,73,125,,@seanhannity @foxnews,,"""686993017144651777""",https://twitter.com/marcorubio/status/686993017144651777,"""I joined @seanhannity on @foxnews last night to talk about the state of the race. Watch the interview here: http:// youtu.be/uUE5ct85BMQ""",0,0
1260,1260,marcorubio,1/12/2016,65,143,,,,"""686978110391095296""",https://twitter.com/marcorubio/status/686978110391095296,"""We are competing everywhere in the country. http:// rub.io/KPP7tq""",0,0
1261,1261,marcorubio,1/12/2016,168,304,,,,,,"""What our country needs is economic growth and there is no new tax that leads to economic growth. http:// rub.io/nXLkAS"";;;;""686957646709153792"";https://twitter.com/marcorubio/status/686957646709153792",0.110606061,0
1262,1262,marcorubio,1/12/2016,127,270,,@seanhannity,,"""686936237303836677""",https://twitter.com/marcorubio/status/686936237303836677,"""Last night @seanhannity asked me about the latest news regarding Hillary's emails. This is what I had to say: pic.twitter.com/a8undb7Qkv""",0.25,0
1263,1263,marcorubio,1/12/2016,77,184,,,,"""686931785721053184""",https://twitter.com/marcorubio/status/686931785721053184,"""This letter from a voter is a reminder of how important 2016 is: we must elect someone who will repeal Obamacare. http:// rub.io/pNXVEd""",0.6,0
1264,1264,marcorubio,1/12/2016,87,194,,,,"""686900676006379520""",https://twitter.com/marcorubio/status/686900676006379520,"""Our nationwide network of conservatives keeps growing. http:// rub.io/KPP7tq""",0,0
1265,1265,marcorubio,1/11/2016,97,195,,,,,,"""In my hard-hitting new ad I answer a lot of questions about... football: http:// youtu.be/bqL2ZiP8AvE #NationalChampionship"";;;#NationalChampionship;""686743711913504768"";https://twitter.com/marcorubio/status/686743711913504768",0.136363636,0
1266,1266,marcorubio,1/11/2016,54,193,,@seanhannity @foxnews,,"""686732262759600128""",https://twitter.com/marcorubio/status/686732262759600128,"""I'm talking with @seanhannity on @foxnews tonight at 10pm ET. Tune in!""",0,0
1267,1267,marcorubio,1/11/2016,16,59,,@christensonkt,,"""686705711879995393""",https://twitter.com/marcorubio/status/686705711879995393,"""@christensonkt I had a great time today. Tell him thank you for coming out!""",0.8,0
