,Unnamed: 0,username,date,retweets,favorites,geo,mentions,hashtags,id,permalink,text,sentiment_polarity,follower_count
1036,1036,JohnKasich,3/15/2016,1629,3058,,,,"""709904329038241792""",https://twitter.com/JohnKasich/status/709904329038241792,"""Victory. Join our team as we march on. http:// JohnKasich.com -John pic.twitter.com/KOy15YmrjV""        ",0,237024
1037,1037,JohnKasich,3/15/2016,1781,3216,,,,"""709903576991211520""",https://twitter.com/JohnKasich/status/709903576991211520,"""How John Kasich waits for election night results. pic.twitter.com/UTrcsd1qJy""        ",0,237024
1038,1038,JohnKasich,3/15/2016,1721,4595,,,,,,"""Make no mistake @MarcoRubio will continue to be a powerful voice for the future of our Republican party. -John"";;@MarcoRubio;;""709899661683920896"";https://twitter.com/JohnKasich/status/709899661683920896        ",0.15,237024
1039,1039,JohnKasich,3/15/2016,392,850,,,,,,"""1 hour to go Ohio! @Schwarzenegger wants you to get to the polls! pic.twitter.com/h9sYCZPLql"";;@Schwarzenegger;;""709869696057806848"";https://twitter.com/JohnKasich/status/709869696057806848        ",0.2,237024
1040,1040,JohnKasich,3/15/2016,186,398,,,,"""709864341030440960""",https://twitter.com/JohnKasich/status/709864341030440960,"""Vote for a stronger America. Vote for John Kasich. pic.twitter.com/AqsUKEDvBi""        ",0,237024
1041,1041,JohnKasich,3/15/2016,129,379,,,,,,"""Two hours to go Ohio. Remember what @OSUCoachMeyer said. pic.twitter.com/iDqUHESClC"";;@OSUCoachMeyer;;""709854988495937536"";https://twitter.com/JohnKasich/status/709854988495937536        ",0,237024
1042,1042,JohnKasich,3/15/2016,92,216,,,,"""709839610520719360""",https://twitter.com/JohnKasich/status/709839610520719360,"""3 hours until polls close! As long as you are in line by 7:30 you can still vote. Find your voting location here: http://www. sos.state.oh.us/SOS/Upload/sit es/ballotTracking/ballotTracking.aspx?page=20547 ""        ",-0.05,237024
1043,1043,JohnKasich,3/15/2016,263,666,,,,,,"""By far John Kasich is in the best position to defeat Clinton in Nov. and return a conservative to the White House. https:// amp.twimg.com/v/90400529-912 5-491d-87a2-0dec5bb4d8e9 "";;;;""709827133619589120"";https://twitter.com/JohnKasich/status/709827133619589120        ",0.366666667,237024
1044,1044,JohnKasich,3/15/2016,140,345,,@OSUCoachMeyer @JohnKasich,,"""709812199141691392""",https://twitter.com/JohnKasich/status/709812199141691392,""". @OSUCoachMeyer confirms what Ohioans already know: @JohnKasich 's leadership has restored hope to the Buckeye State. https:// amp.twimg.com/v/f67b29fb-fe7 2-4a82-b395-cd0addac5dbb ""        ",0,237024
1045,1045,JohnKasich,3/15/2016,103,259,,,,"""709796485064429568""",https://twitter.com/JohnKasich/status/709796485064429568,"""John Kasich doesn't just shake things up -- he gets results. Show your support & chip in: http:// JohnKasich.com/Donate pic.twitter.com/XlliHVe4Xf""        ",0,237024
1046,1046,JohnKasich,3/15/2016,199,344,,,,"""709779260228161540""",https://twitter.com/JohnKasich/status/709779260228161540,"""This is unacceptable. Our nation deserves a president who respects the sacrifices made by our fellow Americans. http://www. foxnews.com/politics/2016/ 03/15/clinton-commits-benghazi-gaffe-saying-us-didnt-lose-single-person-in-libya.html?intcmp=hpbt1 ""        ",0,237024
