,Unnamed: 0,username,date,retweets,favorites,geo,mentions,hashtags,id,permalink,text,sentiment_polarity,follower_count
392,392,tedcruz,8/27/2016,582,895,,,#FullRepeal,"""769611557688922113""",https://twitter.com/tedcruz/status/769611557688922113,"""""Obamacare is a failed law built on false promises"": http:// time.com/4466081/broken -obamacare-promises/  #FullRepeal : https://www. tedcruz.org/l/full-repeal- obamacare/ """,-0.4500000000000001,1533427
393,393,tedcruz,8/26/2016,189,376,,,,"""769346749873786880""",https://twitter.com/tedcruz/status/769346749873786880,"""Texas dominates this list of the top 10 small cities in the U.S. for families! http://www. dallasnews.com/business/headl ines/20160825-the-no.-1-small-city-in-america-for-families-is-in-north-texas-and-is-....ece """,0.125,1532800
394,394,tedcruz,8/26/2016,203,297,,@andybiggs4az,,"""769266393309143040""",https://twitter.com/tedcruz/status/769266393309143040,"""ARIZONA: we need @andybiggs4az in Congress: http:// biggsforcongress.com / https://www. facebook.com/tedcruzpage/ph otos/a.495661567463.299907.69983322463/10154393704082464/  pic.twitter.com/U21VaiUlRz""",0.0,1532800
395,395,tedcruz,8/26/2016,247,462,,,,"""769227365977300993""",https://twitter.com/tedcruz/status/769227365977300993,"""It has been far too long since we have had accountability at the VA: http://www. caller.com/news/politics/ ted-cruz-tours-corpus-christi-visits-base-3ae5ff13-5dd5-2fc0-e053-0100007f56f6-391314181.html """,0.025,1532800
396,396,tedcruz,8/26/2016,196,479,,,,"""769188052958867456""",https://twitter.com/tedcruz/status/769188052958867456,"""Great things are happening in Texas! The Lone Star State tops the nation in incubators for startups! http://www. dallasnews.com/business/techn ology/headlines/20160825-with-austin-in-the-lead-texas-tops-nation-in-nurturing-startups-new-report-says.ece """,0.8,1532800
397,397,tedcruz,8/25/2016,353,642,,@SteveMontenegro,,"""768955674525069312""",https://twitter.com/tedcruz/status/768955674525069312,"""I'm proud to endorse @SteveMontenegro for AZ Senate. Join me in supporting him: https://www. facebook.com/tedcruzpage/ph otos/a.495661567463.299907.69983322463/10154391203182464/  pic.twitter.com/3olFmOIzT0""",0.525,1531564
398,398,tedcruz,8/25/2016,436,558,,,,"""768845680743899136""",https://twitter.com/tedcruz/status/768845680743899136,"""We should not allow the govt to do this to our children --> CBO: Federal Debt to Hit $28.2 Trillion Over Next Decade http:// freebeacon.com/issues/cbo-fed eral-debt-hit-28-2-trillion-next-decade/ """,0.0,1531564
399,399,tedcruz,8/25/2016,215,412,,,,"""768794610986463233""",https://twitter.com/tedcruz/status/768794610986463233,"""Texas: leading the nation in exports ""by a substantial and growing margin."" http://www. bizjournals.com/dallas/news/20 16/08/24/texas-exports-outshine-all-states-dfw-ranks-2nd.html?ana=twtms """,0.0,1531564
400,400,tedcruz,8/24/2016,358,548,,,,"""768563865994932224""",https://twitter.com/tedcruz/status/768563865994932224,"""Someone in our government must have the answers the American people deserve. https:// twitter.com/freebeacon/sta tus/768434532135600128 """,0.0,1529036
401,401,tedcruz,8/24/2016,384,445,,,#FullRepeal,"""768528519974432769""",https://twitter.com/tedcruz/status/768528519974432769,"""I wonder why... --> Obamacare Website No Longer Addresses 'You Can Keep Your Doctor' http:// tws.io/2bABVdB #FullRepeal""",0.0,1529036
402,402,tedcruz,8/24/2016,392,686,,,,,,"""If this payment wasÃ³as the Obama admin insistsÃ³a straightforward settlement of an old debt why all the secrecy? http://www. newsmax.com/Newsfront/ted- cruz-iran-ransom-kidnapping/2016/08/23/id/744833/ "";;;;""768508740815376385"";https://twitter.com/tedcruz/status/768508740815376385",0.2375,1529036
403,403,tedcruz,8/24/2016,178,224,,,#FullRepeal,"""768493210775670785""",https://twitter.com/tedcruz/status/768493210775670785,"""#FullRepeal : http:// CruzCrew.com/full_repeal https:// twitter.com/tedcruz/status /768493020782006272 """,0.0,1529036
