,Unnamed: 0,id,date,text,favorites,retweets,reply_count,quote_count,sentiment_polarity,follower_count
442,442,6.97e+17,2/8/2016,b'I refuse to accept the \xe2\x80\x9cnew normal\xe2\x80\x9d of 2% growth. My plan will create millions of new high-paying jobs every year. https://t.co/6DaqxulJhw',244,77,,,0.13636363636363635,450669
443,443,6.97e+17,2/8/2016,b'The United States can\xe2\x80\x99t continue to withdraw from the threat of ISIS. \n\nWe have one choice: to defeat it. https://t.co/FmSiuAOq0m',145,57,,,0.0,450669
444,444,6.97e+17,2/8/2016,b'My conservative record of accomplishments illustrates what we can do for America with true leadership. WATCH:\nhttps://t.co/FnclQoRXrH',159,74,,,0.35,450669
445,445,6.97e+17,2/8/2016,"b'Thank you, Congressman @dgvaladao, for talking with our Nevada team &amp; caucus-goers this weekend https://t.co/JBqSWr0SXK'",151,46,,,0.0,450669
446,446,6.97e+17,2/8/2016,b'RT @AllVetGroup: There is a change the air! Proudly supporting @jebbush #election2016 https://t.co/3VkeFptuzl',0,38,,,0.25,450669
447,447,6.97e+17,2/8/2016,"b""Obama's incremental and na\xc3\xafve foreign policy is not rooted in reality. I will restore US leadership. https://t.co/kvUhZRgH2i""",98,38,,,-0.125,450669
448,448,6.97e+17,2/8/2016,b'Big thanks to all those who joined me in Nashua yesterday. RSVP to our Portsmouth town hall: https://t.co/vK17CGguVU https://t.co/3N3yFXNdUx',142,40,,,0.2,450669
449,449,6.97e+17,2/8/2016,"b'NEW VIDEO: @JohnKasich and I served as governors, but when you match our records there\xe2\x80\x99s no comparison.\nhttps://t.co/AjWXGgDeFO'",159,103,,,0.0,450669
450,450,6.97e+17,2/8/2016,"b'.@realDonaldTrump, you aren\xe2\x80\x99t just a loser, you are a liar and a whiner. John McCain is a hero. Over and out.'",4027,2409,,,0.0,450669
451,451,6.97e+17,2/8/2016,"b'I will restore our country\xe2\x80\x99s legacy as the world\xe2\x80\x99s leading economic &amp; military power, an obligation @POTUS ignored. https://t.co/uVyr5KJ7jC'",301,125,,,0.05,450669
452,452,6.97e+17,2/8/2016,b'We need a president willing to challenge the culture of overspending &amp; overreaching in our nation\xe2\x80\x99s capital.\nhttps://t.co/tJBm68oMae',151,68,,,0.25,450669
453,453,6.97e+17,2/8/2016,b'Congrats on the Super Bowl victory Peyton. The steady hand prevails!  #ThanksPeyton #GoBroncos',872,301,,,0.25,450669
454,454,6.96e+17,2/7/2016,b'Pulling for another Super Bowl win for my friend Peyton Manning tonight. Go Broncos!\nhttps://t.co/SpUNNhLN9Y',357,128,,,0.5666666666666667,449337
455,455,6.96e+17,2/7/2016,b'.@realDonaldTrump chose his own personal gains over protecting an elderly widow\xe2\x80\x99s home. WATCH:\nhttps://t.co/XgE7O69VVV',301,152,,,0.3,449337
456,456,6.96e+17,2/7/2016,b'Last night was a big win. Chip in now to stand with Jeb. https://t.co/zDVe2Ifn3W',84,36,,,0.4,449337
457,457,6.96e+17,2/7/2016,"b""The people that know @marcorubio and me best all like him, but see why they're supporting me. WATCH:\nhttps://t.co/5RvR4vsqlm""",119,67,,,0.625,449337
458,458,6.96e+17,2/7/2016,b'Agree with Gordon England. I wish @POTUS spent more time trying to defeat the terrorists than trying to close Gitmo. https://t.co/vIOHlGWSbO',121,46,,,0.2,449337
459,459,6.96e+17,2/7/2016,b'Another packed town hall in Salem this morning. Thank you all for coming https://t.co/Jtvgoin8Hq',289,78,,,0.0,449337
460,460,6.96e+17,2/7/2016,b'See for yourself \xe2\x86\x92 https://t.co/cC0eGNA3Us https://t.co/jnyTn5zpp8',62,26,,,0.0,449337
461,461,6.96e+17,2/7/2016,b'NEW VIDEO: Last night we saw the difference between the talkers &amp; the leaders\nhttps://t.co/FCYcDfNIP6',207,128,,,0.0,449337
462,462,6.96e+17,2/7/2016,b'RT @meetthepress: Trump was booed 4 times during the 2 minute exchange with @JebBush during #GOPdebate https://t.co/c2igauLmEy',0,155,,,0.0,449337
463,463,6.96e+17,2/7/2016,b'Results are in: We won the #GOPDebate. Get your Jeb gear today \xe2\x80\x94 everything is 10% off.  https://t.co/tWKeNvF6bx',151,46,,,0.0,449337
464,464,6.96e+17,2/7/2016,"b""When I got to HQ, I found last night's pizza... https://t.co/iWNykRwNwW""",195,100,,,0.0,449337
465,465,6.96e+17,2/7/2016,b'Came to HQ before @FoxNewsSunday and @meetthepress to put together walk books for volunteers. Thanks all! https://t.co/QMjY75aO4N',221,59,,,0.2,449337
466,466,6.96e+17,2/7/2016,"b""The most tweeted moment of tonight's #GOPDebate\nhttps://t.co/vxukigSNJE""",653,362,,,0.5,449337
467,467,6.96e+17,2/7/2016,b'.@HillaryClinton\xe2\x80\x99s stance on the VA scandal is outrageous. Watch what I had to say at tonight\xe2\x80\x99s #GOPDebate:\nhttps://t.co/ja9OHTsI93',194,77,,,-1.0,449337
468,468,6.96e+17,2/7/2016,"b'RT @lynslife: @JebBush They are hearing your message, keep showing NH who you are!  #allinforjeb'",0,46,,,0.0,449337
469,469,6.96e+17,2/7/2016,"b'I ask for your support to keep America safer, stronger and freer. #GOPDebate\nhttps://t.co/QG7jCx8eUA'",378,134,,,0.0,449337
470,470,6.96e+17,2/7/2016,"b'RT @ThisWeekABC: .@jebbush\'s closing statement: ""I ask for your support on Tuesday to keep America and make America safer, stronger and fre\xe2\x80\xa6'",0,73,,,0.0,449337
471,471,6.96e+17,2/7/2016,b'We need someone with a proven record to take our case to the American people. Join us: https://t.co/T4l68OtwYS #GOPDebate',158,62,,,0.0,449337
472,472,6.96e+17,2/7/2016,"b'Under Jeb\'s leadership, Florida created the nation\'s 1st ""Choose Life"" license plates. #GOPDebate https://t.co/e7DkrbUoAX'",333,111,,,0.0,449337
473,473,6.96e+17,2/7/2016,"b""I'm the most pro-life candidate on stage. I acted on it for 8 years as governor of Florida. #GOPDebate""",228,76,,,0.5,449337
474,474,6.96e+17,2/7/2016,b'Tough Night Donald. #GOPDebate https://t.co/bIq9JSBK4g',336,158,,,0.0,449337
475,475,6.96e+17,2/7/2016,"b""The sheer incompetence at the VA is outrageous. @HillaryClinton ignores it. I'll fix it. #GOPDebate""",236,89,,,-0.5,449337
476,476,6.96e+17,2/7/2016,"b""Nobody else will challenge Donald's domain. I did. I will. #GOPDebate #eminentdomain""",292,122,,,0.0,449337
477,477,6.96e+17,2/7/2016,"b'The state capitals should be the source of reform &amp; innovation in this country, not DC. #GOPDebate'",237,113,,,0.0,449337
478,478,6.96e+17,2/7/2016,b'Donald getting a lesson on conservatism tonight.',328,156,,,0.0,449337
479,479,6.96e+17,2/7/2016,"b'Closing Guantanamo is a complete disaster. As president, I will keep us safe. #GOPDebate'",226,83,,,0.3,449337
480,480,6.96e+17,2/7/2016,"b'We have to lead. Without the United States, nothing seems to work. #GOPDebate'",150,67,,,0.0,449337
481,481,6.96e+17,2/7/2016,b'Jeb is the only candidate with a comprehensive strategy to defeat ISIS &amp; restore US leadership. #GOPDebate https://t.co/1z3gprRYrv',167,72,,,0.0,449337
482,482,6.96e+17,2/7/2016,b'Jeb cut more taxes than all the other governors on stage combined. #GOPDebate https://t.co/LilKznsjty',162,95,,,0.1875,449337
483,483,6.96e+17,2/7/2016,b'The truth about @realDonaldTrump and eminent domain: https://t.co/BoleJkZlsR',132,64,,,0.0,449337
484,484,6.96e+17,2/7/2016,"b""Its not tough to take an elderly woman's home @realDonaldTrump. #GOPDebate https://t.co/lnqkemi5DN""",415,331,,,0.19444444444444445,449337
485,485,6.96e+17,2/7/2016,b'Jeb has a proven record of leadership. #GOPDebate\nhttps://t.co/RmtSXo17Nf',185,67,,,0.0,449337
486,486,6.96e+17,2/7/2016,"b'We have a lot of talkers in DC. To fix our broken immigration system, we need leadership. Jeb\xe2\x80\x99s plan: https://t.co/Qp6veYivYC #GOPDebate'",86,48,,,-0.4,449337
487,487,6.96e+17,2/7/2016,"b""After 8 years of President Obama's weak foreign policy, Jeb will restore American leadership in the world. #GOPDebate""",145,53,,,-0.16666666666666666,449337
488,488,6.96e+17,2/7/2016,"b'When we pull back, voids are filled. Next president has to get America back in the game. #GOPDebate'",149,64,,,0.0,449337
489,489,6.96e+17,2/7/2016,b'Take a look at Jeb\xe2\x80\x99s record as a conservative reformer vs @MarcoRubio\xe2\x80\x99s record as a do-nothing senator. #GOPDebate https://t.co/xQd2jm66D6',267,171,,,0.0,449337
490,490,6.96e+17,2/7/2016,b'Jeb has the support of 12 Medal of Honor recipients who know that he\xe2\x80\x99s ready to be Commander-in-Chief. #GOPDebate https://t.co/lDrZIKSTZS',223,114,,,0.2,449337
491,491,6.96e+17,2/7/2016,"b'Jeb is the one candidate with the experience, plans &amp; temperament to be the next president. Join us: https://t.co/T4l68OtwYS #GOPDebate'",124,53,,,0.0,449337
492,492,6.96e+17,2/7/2016,"b'Before I step on stage for tonight\xe2\x80\x99s #GOPDebate, chip in $1 to show you have my back. https://t.co/zDVe2Ifn3W'",57,25,,,0.0,449337
